station_id,id,nome,observation_datetime,m15
67,67,Santos Rodrigues 2 / Azevedo Lima 1,2016-02-27 12:00:00+00:00,99.6
79,79,Vidigal 3,2016-03-13 00:30:00+00:00,44.8
33,33,Ladeira dos Tabajaras,2016-03-16 18:15:00+00:00,38.8
19,19,Cotia 1,2016-03-12 22:45:00+00:00,38.0
14,14,Centro de OperaÃ§Ãµes,2016-03-12 22:45:00+00:00,36.0
64,64,Salgueiro 1,2016-03-12 22:45:00+00:00,35.8
3,3,AndaraÃ­ 1,2016-03-12 22:30:00+00:00,34.0
37,37,Matinha 1,2016-03-12 22:45:00+00:00,34.0
3,3,AndaraÃ­ 1,2016-03-12 22:45:00+00:00,33.8
59,59,Rocinha 1,2016-03-12 23:00:00+00:00,33.6
33,33,Ladeira dos Tabajaras,2016-03-12 23:30:00+00:00,33.4
7,7,Borel 3,2016-03-12 22:45:00+00:00,33.4
79,79,Vidigal 3,2016-03-12 22:45:00+00:00,33.0
24,24,Formiga 1,2016-03-12 22:30:00+00:00,32.4
55,55,PiancÃ³ 2,2016-12-10 05:30:00+00:00,32.0
24,24,Formiga 1,2016-03-12 22:45:00+00:00,31.8
49,49,Parque CandelÃ¡ria 1,2016-03-12 22:45:00+00:00,31.8
66,66,Santa Marta 1,2016-02-22 23:00:00+00:00,31.8
56,56,Prazeres 1,2016-03-12 23:00:00+00:00,31.2
60,60,Rocinha 4,2016-03-12 23:00:00+00:00,31.2
