station_id,id,nome,observation_datetime,m15
32,32,Juramento 2,2023-04-28 13:15:00+00:00,60.0
32,32,Juramento 2,2023-04-19 13:15:00+00:00,59.2
40,40,Morro da FÃ© 1,2023-03-30 22:30:00+00:00,45.4
30,30,Joaquim de Queiroz 1,2023-10-26 10:45:00+00:00,45.2
53,53,Parque Vila Isabel 2,2023-03-30 22:45:00+00:00,41.2
2,2,AlemÃ£o 1,2023-02-07 21:00:00+00:00,40.0
17,17,ChapÃ©u Mangueira 1,2023-05-17 17:00:00+00:00,39.4
35,35,Macacos 1,2023-03-30 22:45:00+00:00,39.2
80,80,Vila CabuÃ§u 1 / Barro Preto,2023-03-30 22:45:00+00:00,37.2
47,47,Palmeiras 2,2023-03-30 22:30:00+00:00,36.6
43,43,Nova Brasilia 1,2023-03-30 22:30:00+00:00,36.4
30,30,Joaquim de Queiroz 1,2023-03-30 22:30:00+00:00,36.4
3,3,AndaraÃ­ 1,2023-03-30 22:45:00+00:00,36.2
48,48,Parque Alvorada 2,2023-03-30 22:30:00+00:00,35.4
1,1,Adeus 1,2023-03-30 22:30:00+00:00,34.4
46,46,Ouro Preto 2,2023-03-30 22:45:00+00:00,33.8
70,70,SÃ£o JoÃ£o 4,2023-02-12 00:00:00+00:00,33.6
6,6,Borel 2,2023-03-30 22:45:00+00:00,33.4
49,49,Parque CandelÃ¡ria 1,2023-03-30 22:45:00+00:00,32.8
67,67,Santos Rodrigues 2 / Azevedo Lima 1,2023-02-11 23:15:00+00:00,32.6
