station_id,id,nome,observation_datetime,m15
10,10,Cantagalo 1,2012-09-27 19:45:00+00:00,767.4
10,10,Cantagalo 1,2012-09-27 23:15:00+00:00,767.4
10,10,Cantagalo 1,2012-09-28 13:15:00+00:00,767.4
10,10,Cantagalo 1,2012-09-28 09:45:00+00:00,767.4
10,10,Cantagalo 1,2012-09-28 06:15:00+00:00,767.4
10,10,Cantagalo 1,2012-09-28 02:45:00+00:00,767.4
50,50,Parque Jọo Paulo II 1,2012-04-09 21:45:00+00:00,363.0
50,50,Parque Jọo Paulo II 1,2012-04-09 20:45:00+00:00,362.8
50,50,Parque Jọo Paulo II 1,2012-04-09 20:30:00+00:00,360.8
66,66,Santa Marta 1,2012-12-04 12:45:00+00:00,109.8
29,29,Jardim do Carmo 1,2012-04-24 17:45:00+00:00,89.0
29,29,Jardim do Carmo 1,2012-04-23 07:30:00+00:00,88.8
29,29,Jardim do Carmo 1,2012-04-23 00:15:00+00:00,87.2
29,29,Jardim do Carmo 1,2012-04-23 00:00:00+00:00,87.0
29,29,Jardim do Carmo 1,2012-04-22 23:30:00+00:00,86.8
78,78,Urubu 2,2012-04-07 12:15:00+00:00,86.0
10,10,Cantagalo 1,2012-12-03 19:45:00+00:00,48.8
10,10,Cantagalo 1,2012-12-03 20:00:00+00:00,44.4
52,52,Parque Silva Vale 3,2012-09-22 16:00:00+00:00,42.0
10,10,Cantagalo 1,2012-12-03 20:15:00+00:00,40.8
