station_id,id,nome,observation_datetime,m15
4,4,Baiana 1,2020-03-01 06:00:00+00:00,60.0
57,57,RelicÃ¡rio 1,2020-03-04 01:00:00+00:00,60.0
57,57,RelicÃ¡rio 1,2020-03-04 00:45:00+00:00,60.0
57,57,RelicÃ¡rio 1,2020-03-04 00:30:00+00:00,59.8
24,24,Formiga 1,2020-05-07 01:45:00+00:00,54.8
4,4,Baiana 1,2020-12-08 04:00:00+00:00,52.6
16,16,Chacrinha 1,2020-03-01 06:15:00+00:00,48.0
72,72,SapÃª 1,2020-01-05 00:15:00+00:00,43.2
35,35,Macacos 1,2020-02-12 23:15:00+00:00,38.8
26,26,Guararapes 1,2020-01-30 23:15:00+00:00,36.8
44,44,Nova DivinÃ©ia 1,2020-02-05 20:45:00+00:00,31.8
23,23,Fazenda Catete 1,2020-01-30 23:15:00+00:00,31.8
46,46,Ouro Preto 2,2020-12-25 22:15:00+00:00,30.4
59,59,Rocinha 1,2020-12-06 15:00:00+00:00,29.0
16,16,Chacrinha 1,2020-01-30 19:45:00+00:00,28.2
16,16,Chacrinha 1,2020-02-05 20:45:00+00:00,28.0
50,50,Parque JoÃ£o Paulo II 1,2020-02-05 20:45:00+00:00,27.4
14,14,Centro de OperaÃ§Ãµes,2020-02-05 20:45:00+00:00,27.2
67,67,Santos Rodrigues 2 / Azevedo Lima 1,2020-01-30 23:15:00+00:00,27.0
6,6,Borel 2,2020-02-05 20:45:00+00:00,26.8
