station_id,id,nome,observation_datetime,m15
59,59,Rocinha 1,2019-03-06 11:15:00+00:00,194.0
59,59,Rocinha 1,2019-02-06 10:15:00+00:00,143.8
34,34,Liberdade 1,2019-03-27 15:45:00+00:00,131.2
34,34,Liberdade 1,2019-03-26 20:45:00+00:00,128.2
59,59,Rocinha 1,2019-02-06 13:45:00+00:00,93.8
83,83,Vila Pereira da Silva 1,2019-04-08 14:30:00+00:00,83.0
70,70,Ṣo Jọo 4,2019-12-06 08:00:00+00:00,60.2
70,70,Ṣo Jọo 4,2019-12-06 08:30:00+00:00,60.2
12,12,Cariri 1,2019-10-26 00:30:00+00:00,60.2
19,19,Cotia 1,2019-03-22 07:30:00+00:00,60.0
19,19,Cotia 1,2019-03-22 12:15:00+00:00,60.0
19,19,Cotia 1,2019-03-22 07:15:00+00:00,60.0
19,19,Cotia 1,2019-03-22 12:30:00+00:00,60.0
19,19,Cotia 1,2019-03-22 06:45:00+00:00,60.0
19,19,Cotia 1,2019-03-22 07:00:00+00:00,60.0
19,19,Cotia 1,2019-03-22 06:30:00+00:00,60.0
19,19,Cotia 1,2019-03-22 06:15:00+00:00,60.0
19,19,Cotia 1,2019-03-22 06:00:00+00:00,60.0
19,19,Cotia 1,2019-03-22 10:00:00+00:00,60.0
19,19,Cotia 1,2019-03-22 05:30:00+00:00,60.0
