station_id,id,nome,observation_datetime,m15
64,64,Salgueiro 1,2014-04-30 20:15:00+00:00,45.0
64,64,Salgueiro 1,2014-04-30 20:30:00+00:00,44.2
59,59,Rocinha 1,2014-01-16 21:30:00+00:00,41.4
79,79,Vidigal 3,2014-01-16 21:30:00+00:00,39.4
61,61,Rocinha 8,2014-01-16 21:30:00+00:00,38.8
62,62,Rua BrÃ­cio de Moraes 1,2014-01-16 21:15:00+00:00,37.4
30,30,Joaquim de Queiroz 1,2014-01-16 22:00:00+00:00,36.8
72,72,SapÃª 1,2014-01-16 21:15:00+00:00,36.0
30,30,Joaquim de Queiroz 1,2014-01-16 22:15:00+00:00,36.0
5,5,BarÃ£o 1,2014-01-16 21:30:00+00:00,35.4
5,5,BarÃ£o 1,2014-01-16 21:45:00+00:00,34.2
60,60,Rocinha 4,2014-01-16 21:30:00+00:00,34.2
51,51,Parque Nova MaracÃ¡ 1,2014-01-16 21:15:00+00:00,34.0
71,71,SÃ£o Miguel Arcanjo 1,2014-01-16 21:15:00+00:00,33.0
50,50,Parque JoÃ£o Paulo II 1,2014-01-16 21:15:00+00:00,32.8
3,3,AndaraÃ­ 1,2014-01-16 21:15:00+00:00,32.2
62,62,Rua BrÃ­cio de Moraes 1,2014-01-16 21:30:00+00:00,31.2
22,22,EspÃ­rito Santo 1,2014-01-16 21:45:00+00:00,30.2
30,30,Joaquim de Queiroz 1,2014-01-16 22:45:00+00:00,29.8
59,59,Rocinha 1,2014-01-16 21:45:00+00:00,29.4
