station_id,id,nome,observation_datetime,m15
11,11,Caracol 1,2013-09-23 20:15:00+00:00,356.4
13,13,Catumbi 1,2013-12-06 00:30:00+00:00,113.8
13,13,Catumbi 1,2013-12-06 00:15:00+00:00,100.8
6,6,Borel 2,2013-03-06 02:30:00+00:00,83.0
57,57,RelicÃ¡rio 1,2013-03-06 03:00:00+00:00,79.4
57,57,RelicÃ¡rio 1,2013-03-05 23:30:00+00:00,74.4
45,45,Ocidental Fallet 1,2013-03-06 03:45:00+00:00,74.0
45,45,Ocidental Fallet 1,2013-03-06 00:15:00+00:00,71.6
25,25,GuaÃ­ba 1 / Vila Pequiri,2013-03-06 00:30:00+00:00,67.2
42,42,Nossa Senhora da Guia 1,2013-12-06 00:15:00+00:00,60.2
42,42,Nossa Senhora da Guia 1,2013-12-06 00:00:00+00:00,59.6
52,52,Parque Silva Vale 3,2013-03-06 01:00:00+00:00,57.6
61,61,Rocinha 8,2013-12-06 00:45:00+00:00,55.8
5,5,BarÃ£o 1,2013-03-27 11:30:00+00:00,53.6
76,76,Tuiuti 2 / TelÃ©grafos,2013-10-24 01:00:00+00:00,51.6
3,3,AndaraÃ­ 1,2013-12-05 23:45:00+00:00,46.8
15,15,ChÃ¡cara do CÃ©u 1,2013-04-11 17:30:00+00:00,46.0
42,42,Nossa Senhora da Guia 1,2013-12-06 00:30:00+00:00,46.0
3,3,AndaraÃ­ 1,2013-03-05 23:15:00+00:00,44.6
64,64,Salgueiro 1,2013-12-05 23:45:00+00:00,44.0
