station_id,id,nome,observation_datetime,m15
83,83,Vila Pereira da Silva 1,2022-12-21 13:45:00+00:00,154.2
83,83,Vila Pereira da Silva 1,2022-09-05 12:15:00+00:00,152.0
20,20,Engenho da Rainha 2,2022-01-07 12:15:00+00:00,60.0
20,20,Engenho da Rainha 2,2022-01-07 13:00:00+00:00,60.0
20,20,Engenho da Rainha 2,2022-01-07 12:30:00+00:00,60.0
20,20,Engenho da Rainha 2,2022-01-07 13:15:00+00:00,60.0
20,20,Engenho da Rainha 2,2022-05-04 19:30:00+00:00,58.6
20,20,Engenho da Rainha 2,2022-01-07 12:45:00+00:00,55.6
20,20,Engenho da Rainha 2,2022-01-07 12:00:00+00:00,54.4
20,20,Engenho da Rainha 2,2022-05-04 19:45:00+00:00,50.2
66,66,Santa Marta 1,2022-04-01 19:15:00+00:00,37.4
31,31,Julio Otoni 1,2022-11-08 06:15:00+00:00,34.2
64,64,Salgueiro 1,2022-02-07 21:30:00+00:00,33.4
17,17,Chap̩u Mangueira 1,2022-04-01 01:45:00+00:00,32.4
75,75,Sumar̩ 1,2022-04-01 20:30:00+00:00,32.0
64,64,Salgueiro 1,2022-09-15 10:30:00+00:00,31.2
33,33,Ladeira dos Tabajaras,2022-04-01 01:45:00+00:00,30.6
30,30,Joaquim de Queiroz 1,2022-04-30 08:30:00+00:00,30.0
16,16,Chacrinha 1,2022-04-01 20:30:00+00:00,30.0
20,20,Engenho da Rainha 2,2022-01-07 13:30:00+00:00,29.2
