station_id,id,nome,observation_datetime,m15
59,59,Rocinha 1,2017-12-24 01:00:00+00:00,59.4
12,12,Cariri 1,2017-01-19 19:00:00+00:00,39.2
29,29,Jardim do Carmo 1,2017-01-22 23:00:00+00:00,37.0
25,25,GuaÃ­ba 1 / Vila Pequiri,2017-01-22 23:00:00+00:00,34.4
42,42,Nossa Senhora da Guia 1,2017-12-26 04:45:00+00:00,32.6
40,40,Morro da FÃ© 1,2017-01-22 23:00:00+00:00,31.6
81,81,Vila Cruzeiro 1,2017-01-22 23:00:00+00:00,29.6
1,1,Adeus 1,2017-11-20 06:00:00+00:00,29.0
47,47,Palmeiras 2,2017-01-22 23:00:00+00:00,28.2
62,62,Rua BrÃ­cio de Moraes 1,2017-01-22 23:15:00+00:00,28.0
73,73,Sereno 1,2017-01-22 23:00:00+00:00,26.6
79,79,Vidigal 3,2017-01-25 20:30:00+00:00,24.8
11,11,Caracol 1,2017-01-22 23:00:00+00:00,24.0
19,19,Cotia 1,2017-01-12 15:30:00+00:00,23.6
48,48,Parque Alvorada 2,2017-11-27 21:00:00+00:00,23.4
79,79,Vidigal 3,2017-01-25 20:15:00+00:00,23.4
29,29,Jardim do Carmo 1,2017-01-12 22:45:00+00:00,22.4
47,47,Palmeiras 2,2017-01-16 21:45:00+00:00,22.2
46,46,Ouro Preto 2,2017-04-08 02:00:00+00:00,22.0
43,43,Nova Brasilia 1,2017-11-27 21:00:00+00:00,21.8
